,category,company,employment_type,job_description,job_requirement,job_skills,job_title,job_uuid,location,salary_max,salary_min,seniority
56,Insurance,Company Undisclosed,Permanent,"Pricing & Data AnalystUse machine-learning techniques in regression, clustering, and classification to solve insurance pricing problems.Develop algorithms and predictive models using large amounts of structured and unstructured dataSupport initiatives on claims analytics, data visualization, automation and telematics insurance data analysisConduct data analysis for pricing of new and existing products for local entities","Bachelor Degree in statistics, computer science or equivalent2+ years of relevant quantitative & qualitative analytics experience in non-life insurance industry.Strong aptitude towards math's, statistics and programming with inquisitive mindsetAbility to work independently and self-motivatedExperience in large data set management, scrubbing and analysis using statistical and scientific computing tools such as R and Python","Management, Business Development, Strategic Planning, Strategy, Leadership, Project Management, Team Management, Business Strategy, Marketing, Marketing Strategy, Program Management, Vendor Management, New Business Development, Market Research, Business Analysis, CRM, Change Management, Sales, Negotiation, Training",Senior Executive,92e85ae54329a31c8624693f313b61f7,Central,9000.0,5000.0,Senior Executive
57,Consulting  ...,LATENTVIEW ANALYTICS PTE. LTD.,Full Time,"Partner with client businesses in operational/supply chain planning to work on statistical, machine learning, mathematical optimization methods and support with visualization efforts to derive insights and solve interesting business problems. Must have prior exposure to working with ecommerce apps to define and improving the way in which performance and efficiency are tracked. You will be working with a highly cross functional team providing insights to inform decisions on Client’s long/short term growth and efficiency.Partner with regional client operations teams to identify operational weaknesses and help improve or innovate new processes to keep local teams as efficient as possibleBuild and own periodic reporting – Query client data warehouse to help stakeholders all over the world to manage and improve operationsCustomer driven thinking - biased to structure recommendations based on research and dataDelivery planning and monitoring of Analytics solutions delivered to client in coordination with offshore technical teams based out of India.Analyze client data around consumer funnel performance to come up actionable insights for business issuesCoordinate with members of other business teams in client org and an offshore analytics team to measure the impact and efficiency of new initiatives and business processesBuild production grade models to optimize marketing performance by utilizing advanced statistical modeling, machine learning and operations research techniques.Leverage models to provide insights on budget planning, allocation and forecasting across different levers optimize key business metrics globally.Participate in project planning/prioritization meetings, stakeholder meeting, data prioritization meeting, etc.","5+ years working experience on analytics consultingPrevious experience in Data driven Analytics/Data ScienceStrong computing, analytical, statistical, data visualization, analytical thinking, and problem solving skillsExpert knowledge of relational databases, SQL, data miningAdvanced SQL skills - comfortable working with very large data sets and Exposure to big data environments & applications (Hive, Presto, Spark preferred)Expertise with R or Python with hands-on experience applying machine learning, time-series analysis, mathematical optimization conceptsDemonstrable domain expertise experiment design and hypothesis testingData visualization skills using tools such as Tableau, Excel, PowerBI or any other equivalentGreat communication and organization skillsSelf-starter attitude and ability to exercise judgment and solve difficult problems without direct supervision. Balance attention to detail with swift execution","Management, Project Management, Strategy, Leadership, Business Strategy, Management Consulting, Change Management, Strategic Planning, Program Management, Business Development, Business Analysis, Training, Marketing, Start-ups, Analysis, Research, Integration, Social Media, Marketing Strategy, Entrepreneurship",Senior Analyst  /  Consultant,fa81c50e6914c9f1af3e9d9812c33b43,Central,7500.0,6000.0,Professional
58,Information Technology,THE CHINA NAVIGATION COMPANY PTE. LTD.,Permanent,"Job Purpose and ObjectiveTo build analytics and machine learning capabilities for business to continue its evolution into an analytical and data-driven cultureTo play an analytical role in researching, designing, implementing, and deploying full-stack scalable data analytics vision and machine learning solutions in cloud to improve business in the area of Planning, Scheduling, Yield Management, Cost management, Performance management, order management etc.To build Data Integration capability using micro API to populate target systems such as Data lake and to integrate multiple source systems virtually. To support relevant stakeholders through quantitative analytics, and the application of appropriate advanced analytics to achieve key initiatives.To develop and implementation of  standards, guidelines, process, procedures related to Analytics and Digital platform within the company with the aim to increase overall productivity & effectiveness of the group.Primary duties and responsibilitiesResponsible in fusing customer analytics, statistical modeling, machine learning, segmentation, clustering analysis etc., into actionable recommendations for decision making.Work with vendors in building and maintaining of analytics infrastructure to be used across the business departments and consistently conducts research, design, implementation, and validation of cutting-edge algorithms in order to analyze diverse data sources to enable desired business outcomes.Design and Implement data integration using micro API to populate target systems such as data lakes as well as integrate multiple source systems virtually. Design framework for API management and life cycle management.Responsible in fusing customer analytics, statistical modeling, machine learning, segmentation, clustering analysis etc., into actionable recommendations for decision making.Work with vendors in building and maintaining of analytics infrastructure to be used across the business departments and consistently conducts research, design, implementation, and validation of cutting-edge algorithms in order to analyze diverse data sources to enable desired business outcomes.Design and Implement data integration using micro API to populate target systems such as data lakes as well as integrate multiple source systems virtually. Design framework for API management and life cycle management.Experience in Agile methodology.Institutionalize Analytics policies, guidelines  and standardsApply advanced machine learning such as Neural Network, SVM predictive value, churn, segmentation and profiling, association models to help business in decision makingProfile and Analyze source systems data from CNCo systems and external systems / organization to build analytics model in order to achieve business goals.Model complex discovering insights and identifying business opportunities through the use of algorithmic, statistical, visualization, and mining techniques.Translate business requirements into quick prototypes as POCGroom and build big data capabilities, frameworks, and governance processes in CNCO in order to achieve overall business targets/objectives.Identify and prioritize actionable, impactful insights across a core business departments, driving informed decision-making across the business and, hence, enhancing the business’s capability to achieve goals and objectives.Share documentation, mentor and guide team members about Analytics projects","At least University Master Degree in Statistics or Computer science, or related quantitative field.Shipping industry knowledge is an added advantage.Minimum of 10 years’ experience in data profiling, data exploration and Analytics related functions, with a minimum of five years’ of experience in Data Analytics with multiple data sources and data formats (JSON, XML, Semi structured / Unstructured and Relational data ).Substantial working experience in data mining/analytics products (such as SAS, Python, SPSS, Tensor flow, R etc) to develop predictive modeling inclusive of linear and non-Linear regression, logistic regression, and time series analysis models, Neural networks, SVM etc.Experience in Design and solutioning of Data lakes, Enterprise data warehouse, Data integration (micro API such as Mule soft), Data Visualization (Tableau or Qliksense) and Data virtualization are highly preferred.Knowledge in Cloud data solutions and Big data solutions are highly preferredExcellent communication skills, analytical abilities, and Agile project management capability.Ability to successfully work with individuals at all levels within an organization.","Databases, Microsoft SQL Server, SQL, Business Intelligence, Data Analysis, Program Management, Visio, Access, Business Analysis, HTML, Project Management, Management, Process Improvement, SharePoint, Integration, SDLC, T-SQL, Windows, Database Design, Microsoft Excel",Data Scientist,14dc2dd158a6343916673c668d75e491,East,7606.0,5324.0,Manager
59,"Sciences ,Laboratory ,R&D",A*STAR RESEARCH ENTITIES,Contract ,"About the Institute for Infocomm Research (I²R)The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sgThe project focuses on development of machine learning, deep learning and artificial intelligence algorithms for applications in precision medicine.Specific research themes include:Multimodal data analytics on heterogeneous healthcare datasets (genomics, EMR, Imaging, lifestyle) to predict treatment response and/or patient outcomesMethods to incorporate domain knowledge with machine learning and deep learning approaches for biomedical data analyticsInterpretable machine learning and deep learning approaches for biomarker identification, knowledge discovery and clinical applicationsThe position entails working in a multi-disciplinary machine learning and deep learning team in close collaboration with bioinformatics experts, biologists, clinicians, as well as other leading academic and industry partners on impactful projects that have the potential to transform patient-care and deliver improved health outcomes.","PhD in Computer Science, Statistics, Electrical Engineering, Computational Biology, Physics or other Data Science intensive fields.Candidates should have particular expertise in at least one of the following areas, in addition to a strong computational background and/or experience analyzing large datasets:Deep learning/ Machine LearningGenomics/ Computational and Systems BiologyBiomedical informatics/ Healthcare Data AnalyticsMedical ImagingNatural Language Processing/ Text MiningExperience in corporate or application oriented environments is a plus.Ability to work independently and as part of multidisciplinary teamQuick Learner, willing to acquire the necessary domain knowledgeGood communication skills for proposals, reports, and publications.Proficiency in spoken and written English.Experience with biomedical and healthcare datasets (EMR, medical imaging, genomics) is a plus.Strong programming abilities in Python, R, MATLAB, C, C++, JavaFamiliarity with data science tools (eg: Jupyter notebooks, deep learning, machine learning and visualization librariesThe above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","R&D, Molecular Biology, Biotechnology, Lifesciences, Biochemistry, Science, Drug Discovery, Research, Cell Culture, Algorithms, Matlab, Machine Learning, Pharmaceutical Industry, Cell Biology, Chemistry, Protein Chemistry, Simulations, Assay Development, Data Analysis, Drug Development",Scientist (Data Analytics)  /  I2R (A*STAR),5ee7f46ff5369f36e82841940664fe2c,South,9000.0,4500.0,Professional
60,Information Technology,CAREER TREND PTE. LTD.,Full Time,"Work with marketing teams building the next-generation intelligent HW platforms. As an architect, you’ll work with SW/applications team on driving future requirements on machine learning/computer vision applications, prototype them in C++/Python, write architecture spec and work with HW & FPGA design teams for implementation.• CS/EE/Data Scientist specializing in Machine Learning, Deep Learning or computer vision systems• Expertise and experience in machine learning algorithms, such as convolutional neural network, LSTM (Long Short-Term Memory) neural network, classification/detection and their applications• Familiarity in computer vision algorithms such as object detection, tracking and recognition, 3D computer vision — SfM/SLAMUnderstanding the system implications of aforementioned algorithms in terms of performance and power","• Programming skills in C++/C and Python• Knowledge in image processing pipeline is a plus• Strong communication skills and ability to work across various groups• FPGA understanding is a plus• Degree in computer science or EEE with 5 years of design experienceIf you are keen in this position, kindly send your resume to ec@careertrend.com.sg(Eileen Chin, EA Personnel Registration No.: R1108737)","Engineering, Manufacturing, Product Development, Matlab, Project Management, AutoCAD, CAD, Solidworks, Testing, Mechanical Engineering, Simulations, Electronics, Product Design, Engineering Management, Microsoft Office, Semiconductors, Embedded Systems, ASIC, Design for Manufacturing, Verilog",Design Engineer / Electronic Component MNC / 5 days week / Max $5500,8586aa2d75f473048a29bc51b383960b,North,5500.0,4000.0,Senior Executive
61,Education and Training,NANYANG TECHNOLOGICAL UNIVERSITY,Contract ,"Young and research-intensive, Nanyang Technological University (NTU Singapore) is ranked 11th globally. NTU is also placed 1st amongst the world’s best young universities and ranked 4th globally for Engineering and Technology.Established in 1981, the SCHOOL OF ELECTRICAL AND ELECTRONIC ENGINEERING (EEE) is one of the founding Schools of NTU. Built on a culture of excellence, the School is renowned for its high academic standards and research. With more than 150 faculty members and an enrolment of more than 4,000, of which about 1,000 are graduate students, it is one of the largest EEE schools in the world and ranks 6th in the field of Electrical & Electronic Engineering in the 2017 QS World University Rankings by Subject.Join the SCHOOL OF EEE as a faculty member and embark on a challenging and exciting career in research innovations and discoveries and teaching excellence, so as to prepare engineering leaders of the future.The School invites outstanding applicants for a Tenure-track Assistant Professor position with specialisation in the field of Information Engineering.Applicants should possess the following qualification and attributes:A Ph.D. degree in Electrical Engineering, Computer Science or a relevant discipline, with an outstanding scholarship record and a strong commitment to excellence in research and teaching.Strong background in the broad area of Information Engineering, preferably having expertise in one or more of the following (but not limited to):Learning and inference, e.g., fundamental limits, sequential learning, information-theoretic learning, distributed and cooperative learning, adaptive sensing, etc.Data science and big data analytics, e.g., distributed inference, dimensionality reduction, non-parametric methods, model selection, data fusion, etc.Machine learning and artificial intelligence, e.g., deep learning techniques and theory, Bayesian learning, cognitive information processing, etc.Advanced and emerging areas of signal and information processing, e.g., graph signal processing, network inference, reinforcement learning, etc.Ability and strong drive to lead and contribute to inter-disciplinary research and large-scale projects for key applications (communications, advanced sensing, Internet of Things, social networks, biomedical engineering, etc.)Fresh Ph.D. graduates from reputable universities with outstanding research track record would be considered.Candidates with postdoctoral or relevant working/teaching experience in top research institutes or universities would be preferred.Emoluments and General Terms and Conditions of Service:Salary will be competitive and will commensurate with qualifications and experience. The University offers a comprehensive fringe benefits package.Apart from the attractive remuneration package, each successful candidate will also receive a start-up package of at least S$300,000 comprising $100,000 (for equipment, manpower, travel etc) and about S$200,000 scholarship to fund a graduate student (PhD) for 4 years.Application Procedure:IMPORTANT -- Please indicate clearly the post applied for (i.e.Tenure-track Assistant Professor in Information Engineering) when submitting an application or inquiring about this job announcement.The ""Guidelines for Submitting an Application for Faculty Appointment"" is available at: http://www.ntu.edu.sg/ohr/career/submit-an-application/Pages/Faculty-Positions.aspxPlease ensure that all requested information is enclosed in your application and send via email to Chairman, School Search Committee (Information Engineering) c/o School of  Electrical & Electronic Engineering (EEE-Fac-Recruit@ntu.edu.sg).Electronic submission of applications is encouraged.  Only short-listed candidates will be notified.","Applicants should possess the following qualification and attributes:A Ph.D. degree in Electrical Engineering, Computer Science or a relevant discipline, with an outstanding scholarship record and a strong commitment to excellence in research and teaching.Strong background in the broad area of Information Engineering, preferably having expertise in one or more of the following (but not limited to):Learning and inference, e.g., fundamental limits, sequential learning, information-theoretic learning, distributed and cooperative learning, adaptive sensing, etc.Data science and big data analytics, e.g., distributed inference, dimensionality reduction, non-parametric methods, model selection, data fusion, etc.Machine learning and artificial intelligence, e.g., deep learning techniques and theory, Bayesian learning, cognitive information processing, etc.Advanced and emerging areas of signal and information processing, e.g., graph signal processing, network inference, reinforcement learning, etc.Ability and strong drive to lead and contribute to inter-disciplinary research and large-scale projects for key applications (communications, advanced sensing, Internet of Things, social networks, biomedical engineering, etc.)Fresh Ph.D. graduates from reputable universities with outstanding research track record would be considered.Candidates with postdoctoral or relevant working/teaching experience in top research institutes or universities would be preferred.","Research, Teaching, Higher Education, University Teaching, Science, Statistics, Lecturing, Matlab, LaTeX, Data Analysis, Algorithms, Qualitative Research, Public Speaking, Computer Science, Simulations, Mathematical Modeling, Machine Learning, Programming, Curriculum Design, Theory",Tenure-track Assistant Professor in Information Engineering,3c739ea7517910590be2dae00259550d,West,12000.0,7500.0,Non-executive
62,Engineering,SINGAPORE MANAGEMENT UNIVERSITY,Contract,"COMPANY DESCRIPTIONSingapore Management University is a place where high-level professionalism blends together with a healthy informality. The ''family-like'' atmosphere among the SMU community fosters a culture where employees work, plan, organise and play together – building a strong collegiality and morale within the university.Our commitment to attract and retain talent is ongoing. We offer attractive benefits and welfare, competitive compensation packages, and generous professional development opportunities – all to meet the work-life needs of our staff. No wonder, then, that SMU continues to be given numerous awards and recognition for its human resource excellence.RESPONSIBILITIESConduct research and development on machine learning and AI projectsImplementation of new one-shot learning algorithmsPerform real-world experiments for benchmark and assist/co-author for research publicationsBuild potential research prototypes that can be demonstrated to stakeholders","Bachelor degree in Computer Science / Computer Engineering / Information Systems / Applied Math or a closely-related disciplineR&D Experience in AI projects (machine learning, deep learning, and artificial intelligence)Proficiency in at least one programming languages such as Python, Matlab, C/C++ or Java is requiredSelf-motivated individual who can work independently and also collaboratively with team membersCandidates with papers in machine learning or computer vision related areas will be advantageous","Matlab, Algorithms, C++, Machine Learning, C, Python, Java, Simulations, Linux, Software Engineering, Programming, R&D, Computer Science, LaTeX, Engineering, Image Processing, Signal Processing, Software Development, Data Mining, Research","Research Engineer (12-month contract), School of Information Systems",c51ef0bd29a7b9fa3eb4717bc23f6fd6,Central,4000.0,3500.0,Manager
63,Information Technology,"JPMORGAN CHASE BANK, N.A.",Permanent ,"As a member of our Software Engineering Group you will dive head-first into creating innovative solutions that advance businesses and careers. You’ll join an inspiring and curious team of technologists dedicated to improving the design, analytics, development, coding, testing and application programming that goes into creating high quality software and new products. You’ll be tasked with keeping the team and other key stakeholders up to speed on the progress of what’s being planned, Coming in with an understanding of the importance of end-to-end software development-such as agile frameworks-is key. And best of all, you’ll be working with and sharing ideas, information and innovation with our global team of technologists from all over the world.Our Asset and Wealth Management division is driven by innovators like you who are driven to create technology solutions that make us work more efficiently and help our businesses grow. It’s our mission to efficiently take care of our clients’ wealth, helping them get, and remain properly invested.  Across 27 cities, our team of 4,600 agile technologists thrive in a cloud-native environment that values continuous learning using a data-centric approach in developing innovative technology solutions.When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity.  We encourage professional growth and career development, and offer competitive benefits and compensation.  If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.Ready to use your expertise and experience to drive change? Apply today.It's time to take your career to the next level, and we can help. Apply today.Ready to take your career to the next level? Apply today.So if you're ready to put your passion for technology to work in a way that makes a real difference, apply today.If you're interested in work that makes a difference, then apply today.Apply today, and put your passion for technology to work at JPMorgan Chase & Co.","This role requires a wide variety of strengths and capabilities, including:BS/BA degree or equivalent experienceAdvanced knowledge of application, data and infrastructure architecture disciplinesUnderstanding of architecture and design across all systemsproficiency in business analysis and Project managementAbility to collaborate with high-performing teams and individuals throughout the firm to accomplish common goalsUnderstanding of software skills such as business analysis, development, maintenance and software improvementEngage with business user to understand business flowUnderstand and troubleshoot production issues reported by business/Support teamWork with Application development team to design and build solution keeping target state in mindGood Communication skills to interact with different stakeholdersGood knowledge of KYC, onboarding domainKnowledge of Appway is essentialStrong Analytical skillsProblem solving skillsJudgment/InitiativeIndependent worker in a team-based environmentKnowledge on databases like Oracle/Sybase using SQL, PL/SQL.Knowledge with Agile practices (Scrum, TDD, BDD), Continuous Integration using Jenkins.Ready to learn DevOps","Management, Strategy, Leadership, Microsoft Office, Financial Modeling, Research, Strategic Planning, Due Diligence, Business Strategy, Marketing, Microsoft Excel, Social Media, Project Management, Valuation, Financial Analysis, Customer Service, Public Speaking, Private Equity, Mergers & Acquisitions, Business Development","Wealth Management - Application Developer, Associate",18c422e718e26d096123b5f9686a5b3b,"East, Central",14000.0,7000.0,Executive
64,"Sciences ,Laboratory ,R&D",NATIONAL UNIVERSITY OF SINGAPORE,Contract ,"Collaborate with professors and colleagues, to conduct the following activities for research and industrial projects:C#/JAVA programming, database designData analysis, including cleaning, processing, etc.Algorithm design and implementationConducting computer-based experimentsMathematical and simulation modelingAcademic papers and industry report writingPreparation of presentation slides, and necessary documentsOther necessary support, including, but not limited to: website maintenance, activity organization, etc.Preferred SkillsGood bachelor’s degree with honours or a master’s degree from a good recognized university, and/or rich working experience from well-known industry companyKnowledge on the following subjectsMaritime logistics, general logistics, warehousing and manufacturing processesData Analysis or machine learningOptimization and heuristic algorithmsPlease submit:CVCover letter explaining why you want to leave your current jobAcademic transcriptsLast/ currently drawn pay and expected salaryPast research publications (or working papers), if any","Bachelor or higher degree in Industrial Engineering, Computer Science, Statistics and Mathematics, or in other relevant disciplinesProficient in communication and academic writing, and proficient in team collaborationGood working experience, good research experience, or high research publication potential","Matlab, Algorithms, C++, Machine Learning, C, Python, Java, Simulations, Linux, Software Engineering, Programming, R&D, Computer Science, LaTeX, Engineering, Image Processing, Signal Processing, Software Development, Data Mining, Research",Research Engineer /  Assistant  /  Associate,7aad109541d6ce81cd91d1b4a815ed46,South,5000.0,3000.0,Non-executive
65,Information Technology,Company Undisclosed,Permanent ,"Job Title:Global Lead AI ArchitectReporting To:Head of ProductPurpose of the role:The Global Lead AI Architect acts as the AI, Machine Learning and Big Data/Data Science subject matter expert within Whispir’s Engineering team.  A senior position, the role will work with the Head of Product to develop and manage Whispir’s AI assets including deep learning models, tools and frameworks and support the Engineering team to adopt the best possible technology and solutions to reach our vision.  The Global Lead AI Architect also acts as an evangelist for the Whispir platform through public speaking engagements, industry forums, blogs and articles.Duties and ResponsibilitiesArchitectureCreate and document AI architecture guidelines.Build technology demos, prototypes and frameworks.Build Whispir’s AI technology vision.Work together with Engineering team peers to find the optimal implementation of AI algorithms.Work across the Whispir product teams to deliver innovative, high quality product to Whispir customers.Work cross functionality to build and develop new products, which are easy to maintain highly elastic by leveraging API’s where possible and gearing platform toward cloud.Participate in architecture design and review to drive continuous service improvement and capacity planning to ensure scalability of the Whispir cloud environment.Be responsible for helping improve and enforce the overall engineering/technical ability of the group and company. (Technical mentoring, design reviews, hiring/staffing, and establishing other engineering best-practices/processes).Build a critical mass of support for Whispir by evangelising our product though public speaking engagements, proactive attendance at industry forums globally and authoring blogs and articles.Will apply your strong judgement and clout in your day-to-day decisions and interactions with the various engineering teams at Whispir.Review and understand technical and functional design requirements.Participate in design reviews and recommend improvements.Develop most effective technical solutions to meet business requirements.Provide technical guidance in software design and development activities.Recommend new technologies to ensure quality and productivity.Solution Development and DeliveryAssist in maintenance and upgrades of existing software applications.Conduct technical design, coding, unit testing.Participate in release build and deployment.Understand the necessity of and contribute to coding standards.Participate in incident response, diagnosis and resolution.Perform bug fixing.Analyze and troubleshoot application issues in a timely fashion.Professional DevelopmentProactive self development in the areas of AI, Machine Learning and Data Science.Be knowledgeable and ‘up to date’ with software development domain knowledge including industry trends, technologies, frameworks and techniques.Be knowledgeable and ‘up to date’ with all Whispir products.Proactively seek opportunities to broaden and deepen knowledge base and proficiencies.Share acquired skills and knowledge of competitor or complementary products with the team.Skills;CommunicationExceptional presentation and public speaking abilities.Promote active listening with team members.Contribute appropriately to conversations.Verbal and written correspondence is coherent, grammatically correct, concise, professional, engaging.Able to solve complex problems involving multiple variables and uncertainty.Application DevelopmentExpert skills in software development for transactional, database driven systems.Understands development procedures for version control, issue and change management, deployment.Understands web application architectures, patterns and anti-patterns, object oriented design.Understands the Agile development methodology.Programming LanguagesExpert level skill with Python and R.Understands relational database concepts.   Proficient with database querying and modification.Demonstrated work experience with at least one relational database management system.","Requirement, Essential Skills and Abilities:Demonstrated expertise in the areas of AI, Machine Learning and Data Science.10+ years of experience in designing, developing, and debugging software systemsBorac background in Computer Science fundamentalsYou've made (or experienced the result of) a lot of mistakes over the years. You've learned from each of them and hate repeating themYou can communicate complex concepts in a clear and precise way. You have a rigorous and disciplined thought process and have confidence in your ability to tackle most problemsYou've been a technical leader in the past. You've led and mentored other engineers. But you still work well on a team and love learning from others.You've had experience with different system architectures and have opinions about what works and what doesn't. You make consistently pragmatic decisions.You're familiar with - datastore technologies (both RDBMS and NoSQL), and can discuss the pros and cons of different solutions.You've designed and implemented various distributed systems. You've made tradeoffs between consistency, availability, durability, complexity, etc, while taking into account the realities of the network your systems run on.Professionalism;TeamworkPromptly answer email, phone calls and other electronic communications.Conduct all interactions in a professional and appropriate manner.Proactively initiates, develops, and maintains effective working relationships with team members.Recognizes the strengths and weaknesses of each team member.Demonstrates the ability to cooperate with a variety of people and achieve results.Client Management, including internal clientsAnticipates client needs and presents solutions to project management for issues at hand.Understands expectations set with clients, recognizes and flags when issues/events may affect delivery.Honest with all business dealings.Maintains confidentiality of client affairs and account details at all times.","Architecture, Architectural Design, Sustainable Design, SketchUp, AutoCAD, Design Research, Urban Design, Software Development, Agile Methodologies, Java, Architectures, Interior Design, Revit, Integration, Enterprise Architecture, Cloud Computing, SOA, Mixed-use, Comprehensive Planning, Photoshop",Global Lead AI Architect,7f705c0d07c0b2d41f65cc2fb2d775f5,Central,15000.0,10000.0,Manager
66,Information Technology,Company Undisclosed,Permanent ,"Ultimate Software is seeking a Security Engineer to work in our Global Security team. As a Security Engineer, you will play a significant role in building cutting-edge security solutions to protect our customers. You will work closely with our security analysts to develop detections and prototypes to detect security events as they happen. You will work with our security data scientists to implement scalable machine learning models in production. You must challenge the system, and know why you are doing what you are doing and want to grow constantly.Here at Ultimate Software, we truly put our people first. We strongly believe in teamwork, and we encourage and trust our people to reach higher, learn more, and live up to their potential. Ultimate is ranked #1 on Fortune's “Best Places to Work in Technology” for 2017 and #7 on the “100 Best Companies to Work For” list in 2017. Ultimate is also ranked #1 in the Fortune’s “100 Best Workplaces for Millennials” for 2017 and #3 on its ""Best Workplaces for Diversity” list for 2017.","Primary Responsibilities:Proficiency with at least one major statically compiled language and one major interpreted languageExperience with building applications that consume relational and non-relational databasesUnderstanding of scalable computing systems, data-structures and algorithmsStrong communication skills and sharp analytical abilityProven software design skills and strong ability to generalise and abstractAbility to rapidly learn and leverage existing libraries and code frameworksAbility to operate within major source code management solutions such as Git and MercurialAwareness of best practices in application securityComfortable working with teams in multiple locations and to work independently to plan and accomplish goalsPreferred Qualifications:Proven experience with Python and GolangExperience using Linux and Unix operating systems and virtual environmentsExperience writing software tests","Software Development, Java, JavaScript, Agile Methodologies, C#, XML, SQL, Web Services, .NET, Microsoft SQL Server, jQuery, MySQL, ASP.NET, Scrum, Linux, Web Applications, HTML, C++, AJAX, Subversion",Security Engineer,7ff97615ef0b8d5161d6cb38829037d5,Central,9000.0,6000.0,Professional
67,Education and Training,SINGAPORE MANAGEMENT UNIVERSITY,Contract,"COMPANY DESCRIPTIONSingapore Management University is a place where high-level professionalism blends together with a healthy informality. The ''family-like'' atmosphere among the SMU community fosters a culture where employees work, plan, organise and play together – building a strong collegiality and morale within the university.Our commitment to attract and retain talent is ongoing. We offer attractive benefits and welfare, competitive compensation packages, and generous professional development opportunities – all to meet the work-life needs of our staff. No wonder, then, that SMU continues to be given numerous awards and recognition for its human resource excellence.RESPONSIBILITIESThe Living Analytics Research Centre (LARC) is a joint research initiative betweenSingapore Management University (SMU)andCarnegie Mellon University (CMU)that focuses on behavioural and social network analytics in the fields ofUrban and Community Liveability,Personalised Urban Mobility,Jobs and Skills Intelligence, as well asSmart Consumption and Healthy Lifestyle. In line with Singapore’s Smart Nation goal, one of LARC’s objectives will be to harness technology to its fullest potential with the aim of improving the lives of Citizens and creating more opportunities. Candidates who join us can also expect to gain a deeper knowledge in the following areas:Big Data Analytics,Data Mining,Machine Learning,Deep Learningandother relevant disciplines.The Research Fellow will work with faculty researchers on one or more of the following research topics in the urban/social computing, smart cities and consumer business domains.Data and Text MiningMachine LearningDeep LearningCrowdsourcingRecommender SystemsSocial-Urban SensingBig Data InfrastructureThe Research Fellow will also be responsible for one or more the following:Designing research methodologiesDeveloping algorithms and modelsConducting data science studiesDesigning and conducting experimentsDesigning and implementing applications, tools and systemsDeveloping analytics capabilities in big data infrastructure","PhD in Computer Science and related disciplinesGood knowledge in relevant research topics and research skillsProficient in at least one or more of these programming languages: Java, Python, C#, C++ and C#LI-JN1","Research, Matlab, Algorithms, LaTeX, Machine Learning, Computer Science, Teaching, Data Analysis, C++, Programming, Science, Java, Statistics, Python, Artificial Intelligence, Project Management, Microsoft Office, Software Engineering, C, Data Mining","Research Fellow (1-year contract), Living Analytics Research Centre",872852b43ded85b48f42884faea0c930,Central,8000.0,4000.0,Senior Management
